rank,original_index,final_score,match_score,diversity_score,is_ground_truth,temperature,humidity,pressure
562,26235,1.0,1.0,0.4306761559335103,True,18.8,0.7,1013.46
563,61051,1.0,1.0,0.43381827883727275,True,17.68333333,0.65,1016.81
564,83575,1.0,1.0,0.5587538652223876,True,18.82222222,0.61,1013.74
565,18038,1.0,1.0,1.0,True,19.93333333,0.3,1013.54
566,79479,1.0,1.0,1.0,True,17.75555556,0.34,1015.59
567,79478,1.0,1.0,1.0,True,17.80555556,0.36,1015.53
568,79477,1.0,1.0,1.0,True,17.8,0.35,1015.8
569,93804,1.0,1.0,0.6028608420028618,True,16.99444444,0.56,1014.27
570,71275,1.0,1.0,0.8713349210221406,True,19.90555556,0.49,1015.64
571,71276,1.0,1.0,0.6533008237197545,True,17.76666667,0.55,1016.36
572,34474,1.0,1.0,0.516996542417401,True,20.0,0.68,1014.7
573,75439,1.0,1.0,0.9384949180389149,True,16.17777778,0.43,1015.93
574,26136,1.0,1.0,0.38059450533574984,True,16.97222222,0.66,1014.55
575,93892,1.0,1.0,0.5295513821468125,True,19.60555556,0.65,1013.24
576,5843,1.0,1.0,0.36642270937127164,True,15.72222222,0.64,1014.75
577,85715,1.0,1.0,0.8879817215354029,True,17.8,0.46,1015.17
578,85714,1.0,1.0,0.8878497714461868,True,17.8,0.46,1014.76
579,85713,1.0,1.0,0.8566334464615672,True,17.62777778,0.47,1014.6
580,85712,1.0,1.0,0.7912284697555169,True,17.15,0.49,1014.99
581,34506,1.0,1.0,0.6138485162626421,True,20.0,0.61,1014.2
582,75470,1.0,1.0,0.9316681853960003,True,17.31111111,0.44,1015.45
583,75469,1.0,1.0,1.0,True,18.8,0.35,1016.01
584,75468,1.0,1.0,1.0,True,18.88333333,0.34,1016.56
585,61131,1.0,1.0,0.32188574264578657,True,16.13333333,0.67,1013.15
586,61130,1.0,1.0,0.3775628817392233,True,16.92222222,0.66,1013.67
587,61129,1.0,1.0,0.38475370113114515,True,16.68888889,0.65,1013.37
588,87752,1.0,1.0,0.7876408727524619,True,18.88888889,0.51,1013.01
589,61127,1.0,1.0,0.7595055372126791,True,19.47777778,0.53,1013.54
